Pokedex Number,Name,URL,Type1,Type2,Height,Weight,Base HP,Min HP,Max HP,Base Attack,Min Attack,Max Attack,Base Defense,Min Defense,Max Defense,Base Sp. Attack,Min Sp. Attack,Max Sp. Attack,Base Sp. Defense,Min Sp. Defense,Max Sp. Defense,Base Speed,Min Speed,Max Speed,Base Total,Min Total,Max Total,Legendary,Generation
30,Nidorina,https://pokemondb.net/pokedex/nidorina,Poison,None,0.8,20.0,70,250,344,62,116,245,67,125,256,55,103,229,55,103,229,56,105,232,365,802,1535,False,1
31,Nidoqueen,https://pokemondb.net/pokedex/nidoqueen,Poison,Ground,1.3,60.0,90,290,384,92,170,311,87,161,300,75,139,273,85,157,295,76,141,276,505,1058,1839,False,1
32,Nidoran-m,https://pokemondb.net/pokedex/nidoran-m,Poison,None,0.5,9.0,46,202,296,57,107,234,40,76,196,40,76,196,40,76,196,50,94,218,273,631,1336,False,1
33,Nidorino,https://pokemondb.net/pokedex/nidorino,Poison,None,0.9,19.5,61,232,326,72,134,267,57,107,234,55,103,229,55,103,229,65,121,251,365,800,1536,False,1
34,Nidoking,https://pokemondb.net/pokedex/nidoking,Poison,Ground,1.4,62.0,81,272,366,102,188,333,77,143,278,85,157,295,75,139,273,85,157,295,505,1056,1840,False,1
35,Clefairy,https://pokemondb.net/pokedex/clefairy,Fairy,None,0.6,7.5,70,250,344,45,85,207,48,90,214,60,112,240,65,121,251,35,67,185,323,725,1441,False,1
36,Clefable,https://pokemondb.net/pokedex/clefable,Fairy,None,1.3,40.0,95,300,394,70,130,262,73,135,269,95,175,317,90,166,306,60,112,240,483,1018,1788,False,1
37,Vulpix,https://pokemondb.net/pokedex/vulpix,Fire,None,0.6,9.9,38,186,280,41,78,199,40,76,196,50,94,218,65,121,251,65,121,251,299,676,1395,False,1
38,Ninetales,https://pokemondb.net/pokedex/ninetales,Fire,None,1.1,19.9,73,256,350,76,141,276,75,139,273,81,150,287,100,184,328,100,184,328,505,1054,1842,False,1
39,Jigglypuff,https://pokemondb.net/pokedex/jigglypuff,Normal,Fairy,0.5,5.5,115,340,434,45,85,207,20,40,152,45,85,207,25,49,163,20,40,152,270,639,1315,False,1
40,Wigglytuff,https://pokemondb.net/pokedex/wigglytuff,Normal,Fairy,1.0,12.0,140,390,484,70,130,262,45,85,207,85,157,295,50,94,218,45,85,207,435,941,1673,False,1
41,Zubat,https://pokemondb.net/pokedex/zubat,Poison,Flying,0.8,7.5,40,190,284,45,85,207,35,67,185,30,58,174,40,76,196,55,103,229,245,579,1275,False,1
42,Golbat,https://pokemondb.net/pokedex/golbat,Poison,Flying,1.6,55.0,75,260,354,80,148,284,70,130,262,65,121,251,75,139,273,90,166,306,455,964,1730,False,1
43,Oddish,https://pokemondb.net/pokedex/oddish,Grass,Poison,0.5,5.4,45,200,294,50,94,218,55,103,229,75,139,273,65,121,251,30,58,174,320,715,1439,False,1
44,Gloom,https://pokemondb.net/pokedex/gloom,Grass,Poison,0.8,8.6,60,230,324,65,121,251,70,130,262,85,157,295,75,139,273,40,76,196,395,853,1601,False,1
45,Vileplume,https://pokemondb.net/pokedex/vileplume,Grass,Poison,1.2,18.6,75,260,354,80,148,284,85,157,295,110,202,350,90,166,306,50,94,218,490,1027,1807,False,1
46,Paras,https://pokemondb.net/pokedex/paras,Bug,Grass,0.3,5.4,35,180,274,70,130,262,55,103,229,45,85,207,55,103,229,25,49,163,285,650,1364,False,1
47,Parasect,https://pokemondb.net/pokedex/parasect,Bug,Grass,1.0,29.5,60,230,324,95,175,317,80,148,284,60,112,240,80,148,284,30,58,174,405,871,1623,False,1
48,Venonat,https://pokemondb.net/pokedex/venonat,Bug,Poison,1.0,30.0,60,230,324,55,103,229,50,94,218,40,76,196,55,103,229,45,85,207,305,691,1403,False,1
49,Venomoth,https://pokemondb.net/pokedex/venomoth,Bug,Poison,1.5,12.5,70,250,344,65,121,251,60,112,240,90,166,306,75,139,273,90,166,306,450,954,1720,False,1
50,Diglett,https://pokemondb.net/pokedex/diglett,Ground,None,0.2,0.8,10,130,224,55,103,229,25,49,163,35,67,185,45,85,207,95,175,317,265,609,1325,False,1
51,Dugtrio,https://pokemondb.net/pokedex/dugtrio,Ground,None,0.7,33.3,35,180,274,100,184,328,50,94,218,50,94,218,70,130,262,120,220,372,425,902,1672,False,1
52,Meowth,https://pokemondb.net/pokedex/meowth,Normal,None,0.4,4.2,40,190,284,45,85,207,35,67,185,40,76,196,40,76,196,90,166,306,290,660,1374,False,1
53,Persian,https://pokemondb.net/pokedex/persian,Normal,None,1.0,32.0,65,240,334,70,130,262,60,112,240,65,121,251,65,121,251,115,211,361,440,935,1699,False,1
54,Psyduck,https://pokemondb.net/pokedex/psyduck,Water,None,0.8,19.6,50,210,304,52,98,223,48,90,214,65,121,251,50,94,218,55,103,229,320,716,1439,False,1
55,Golduck,https://pokemondb.net/pokedex/golduck,Water,None,1.7,76.6,80,270,364,82,152,289,78,144,280,95,175,317,80,148,284,85,157,295,500,1046,1829,False,1
56,Mankey,https://pokemondb.net/pokedex/mankey,Fighting,None,0.5,28.0,40,190,284,80,148,284,35,67,185,35,67,185,45,85,207,70,130,262,305,687,1407,False,1
57,Primeape,https://pokemondb.net/pokedex/primeape,Fighting,None,1.0,32.0,65,240,334,105,193,339,60,112,240,60,112,240,70,130,262,95,175,317,455,962,1732,False,1
58,Growlithe,https://pokemondb.net/pokedex/growlithe,Fire,None,0.7,19.0,55,220,314,70,130,262,45,85,207,70,130,262,50,94,218,60,112,240,350,771,1503,False,1
59,Arcanine,https://pokemondb.net/pokedex/arcanine,Fire,None,1.9,155.0,90,290,384,110,202,350,80,148,284,100,184,328,80,148,284,95,175,317,555,1147,1947,False,1
60,Poliwag,https://pokemondb.net/pokedex/poliwag,Water,None,0.6,12.4,40,190,284,50,94,218,40,76,196,40,76,196,40,76,196,90,166,306,300,678,1396,False,1
61,Poliwhirl,https://pokemondb.net/pokedex/poliwhirl,Water,None,1.0,20.0,65,240,334,65,121,251,65,121,251,50,94,218,50,94,218,90,166,306,385,836,1578,False,1
62,Poliwrath,https://pokemondb.net/pokedex/poliwrath,Water,Fighting,1.3,54.0,90,290,384,95,175,317,95,175,317,70,130,262,90,166,306,70,130,262,510,1066,1848,False,1
63,Abra,https://pokemondb.net/pokedex/abra,Psychic,None,0.9,19.5,25,160,254,20,40,152,15,31,141,105,193,339,55,103,229,90,166,306,310,693,1421,False,1
64,Kadabra,https://pokemondb.net/pokedex/kadabra,Psychic,None,1.3,56.5,40,190,284,35,67,185,30,58,174,120,220,372,70,130,262,105,193,339,400,858,1616,False,1
65,Alakazam,https://pokemondb.net/pokedex/alakazam,Psychic,None,1.5,48.0,55,220,314,50,94,218,45,85,207,135,247,405,95,175,317,120,220,372,500,1041,1833,False,1
66,Machop,https://pokemondb.net/pokedex/machop,Fighting,None,0.8,19.5,70,250,344,80,148,284,50,94,218,35,67,185,35,67,185,35,67,185,305,693,1401,False,1
67,Machoke,https://pokemondb.net/pokedex/machoke,Fighting,None,1.5,70.5,80,270,364,100,184,328,70,130,262,50,94,218,60,112,240,45,85,207,405,875,1619,False,1
68,Machamp,https://pokemondb.net/pokedex/machamp,Fighting,None,1.6,130.0,90,290,384,130,238,394,80,148,284,65,121,251,85,157,295,55,103,229,505,1057,1837,False,1
69,Bellsprout,https://pokemondb.net/pokedex/bellsprout,Grass,Poison,0.7,4.0,50,210,304,75,139,273,35,67,185,70,130,262,30,58,174,40,76,196,300,680,1394,False,1
70,Weepinbell,https://pokemondb.net/pokedex/weepinbell,Grass,Poison,1.0,6.4,65,240,334,90,166,306,50,94,218,85,157,295,45,85,207,55,103,229,390,845,1589,False,1
71,Victreebel,https://pokemondb.net/pokedex/victreebel,Grass,Poison,1.7,15.5,80,270,364,105,193,339,65,121,251,100,184,328,70,130,262,70,130,262,490,1028,1806,False,1
72,Tentacool,https://pokemondb.net/pokedex/tentacool,Water,Poison,0.9,45.5,40,190,284,40,76,196,35,67,185,50,94,218,100,184,328,70,130,262,335,741,1473,False,1
73,Tentacruel,https://pokemondb.net/pokedex/tentacruel,Water,Poison,1.6,55.0,80,270,364,70,130,262,65,121,251,80,148,284,120,220,372,100,184,328,515,1073,1861,False,1
74,Geodude,https://pokemondb.net/pokedex/geodude,Rock,Ground,0.4,20.0,40,190,284,80,148,284,100,184,328,30,58,174,30,58,174,20,40,152,300,678,1396,False,1
75,Graveler,https://pokemondb.net/pokedex/graveler,Rock,Ground,1.0,105.0,55,220,314,95,175,317,115,211,361,45,85,207,45,85,207,35,67,185,390,843,1591,False,1
76,Golem,https://pokemondb.net/pokedex/golem,Rock,Ground,1.4,300.0,80,270,364,120,220,372,130,238,394,55,103,229,65,121,251,45,85,207,495,1037,1817,False,1
77,Ponyta,https://pokemondb.net/pokedex/ponyta,Fire,None,1.0,30.0,50,210,304,85,157,295,55,103,229,65,121,251,65,121,251,90,166,306,410,878,1636,False,1
78,Rapidash,https://pokemondb.net/pokedex/rapidash,Fire,None,1.7,95.0,65,240,334,100,184,328,70,130,262,80,148,284,80,148,284,105,193,339,500,1043,1831,False,1
79,Slowpoke,https://pokemondb.net/pokedex/slowpoke,Water,Psychic,1.2,36.0,90,290,384,65,121,251,65,121,251,40,76,196,40,76,196,15,31,141,315,715,1419,False,1
80,Slowbro,https://pokemondb.net/pokedex/slowbro,Water,Psychic,1.6,78.5,95,300,394,75,139,273,110,202,350,100,184,328,80,148,284,30,58,174,490,1031,1803,False,1
81,Magnemite,https://pokemondb.net/pokedex/magnemite,Electric,Steel,0.3,6.0,25,160,254,35,67,185,70,130,262,95,175,317,55,103,229,45,85,207,325,720,1454,False,1
82,Magneton,https://pokemondb.net/pokedex/magneton,Electric,Steel,1.0,60.0,50,210,304,60,112,240,95,175,317,120,220,372,70,130,262,70,130,262,465,977,1757,False,1
83,Farfetch'd,https://pokemondb.net/pokedex/farfetch'd,Normal,Flying,0.8,15.0,52,214,308,90,166,306,55,103,229,58,108,236,62,116,245,60,112,240,377,819,1564,False,1
84,Doduo,https://pokemondb.net/pokedex/doduo,Normal,Flying,1.4,39.2,35,180,274,85,157,295,45,85,207,35,67,185,35,67,185,75,139,273,310,695,1419,False,1
85,Dodrio,https://pokemondb.net/pokedex/dodrio,Normal,Flying,1.8,85.2,60,230,324,110,202,350,70,130,262,60,112,240,60,112,240,110,202,350,470,988,1766,False,1
86,Seel,https://pokemondb.net/pokedex/seel,Water,None,1.1,90.0,65,240,334,45,85,207,55,103,229,45,85,207,70,130,262,45,85,207,325,728,1446,False,1
87,Dewgong,https://pokemondb.net/pokedex/dewgong,Water,Ice,1.7,120.0,90,290,384,70,130,262,80,148,284,70,130,262,95,175,317,70,130,262,475,1003,1771,False,1
88,Grimer,https://pokemondb.net/pokedex/grimer,Poison,None,0.9,30.0,80,270,364,80,148,284,50,94,218,40,76,196,50,94,218,25,49,163,325,731,1443,False,1
89,Muk,https://pokemondb.net/pokedex/muk,Poison,None,1.2,30.0,105,320,414,105,193,339,75,139,273,65,121,251,100,184,328,50,94,218,500,1051,1823,False,1
90,Shellder,https://pokemondb.net/pokedex/shellder,Water,None,0.3,4.0,30,170,264,65,121,251,100,184,328,45,85,207,25,49,163,40,76,196,305,685,1409,False,1
91,Cloyster,https://pokemondb.net/pokedex/cloyster,Water,Ice,1.5,132.5,50,210,304,95,175,317,180,328,504,85,157,295,45,85,207,70,130,262,525,1085,1889,False,1
92,Gastly,https://pokemondb.net/pokedex/gastly,Ghost,Poison,1.3,0.1,30,170,264,35,67,185,30,58,174,100,184,328,35,67,185,80,148,284,310,694,1420,False,1
93,Haunter,https://pokemondb.net/pokedex/haunter,Ghost,Poison,1.6,0.1,45,200,294,50,94,218,45,85,207,115,211,361,55,103,229,95,175,317,405,868,1626,False,1
94,Gengar,https://pokemondb.net/pokedex/gengar,Ghost,Poison,1.5,40.5,60,230,324,65,121,251,60,112,240,130,238,394,75,139,273,110,202,350,500,1042,1832,False,1
95,Onix,https://pokemondb.net/pokedex/onix,Rock,Ground,8.8,210.0,35,180,274,45,85,207,160,292,460,30,58,174,45,85,207,70,130,262,385,830,1584,False,1
96,Drowzee,https://pokemondb.net/pokedex/drowzee,Psychic,None,1.0,32.4,60,230,324,48,90,214,45,85,207,43,81,203,90,166,306,42,80,201,328,732,1455,False,1
97,Hypno,https://pokemondb.net/pokedex/hypno,Psychic,None,1.6,75.6,85,280,374,73,135,269,70,130,262,73,135,269,115,211,361,67,125,256,483,1016,1791,False,1
98,Krabby,https://pokemondb.net/pokedex/krabby,Water,None,0.4,6.5,30,170,264,105,193,339,90,166,306,25,49,163,25,49,163,50,94,218,325,721,1453,False,1
99,Kingler,https://pokemondb.net/pokedex/kingler,Water,None,1.3,60.0,55,220,314,130,238,394,115,211,361,50,94,218,50,94,218,75,139,273,475,996,1778,False,1
100,Voltorb,https://pokemondb.net/pokedex/voltorb,Electric,None,0.5,10.4,40,190,284,30,58,174,50,94,218,55,103,229,55,103,229,100,184,328,330,732,1462,False,1
101,Electrode,https://pokemondb.net/pokedex/electrode,Electric,None,1.2,66.6,60,230,324,50,94,218,70,130,262,80,148,284,80,148,284,150,274,438,490,1024,1810,False,1
102,Exeggcute,https://pokemondb.net/pokedex/exeggcute,Grass,Psychic,0.4,2.5,60,230,324,40,76,196,80,148,284,60,112,240,45,85,207,40,76,196,325,727,1447,False,1
103,Exeggutor,https://pokemondb.net/pokedex/exeggutor,Grass,Psychic,2.0,120.0,95,300,394,95,175,317,85,157,295,125,229,383,75,139,273,55,103,229,530,1103,1891,False,1
104,Cubone,https://pokemondb.net/pokedex/cubone,Ground,None,0.4,6.5,50,210,304,50,94,218,95,175,317,40,76,196,50,94,218,35,67,185,320,716,1438,False,1
105,Marowak,https://pokemondb.net/pokedex/marowak,Ground,None,1.0,45.0,60,230,324,80,148,284,110,202,350,50,94,218,80,148,284,45,85,207,425,907,1667,False,1
106,Hitmonlee,https://pokemondb.net/pokedex/hitmonlee,Fighting,None,1.5,49.8,50,210,304,120,220,372,53,99,225,35,67,185,110,202,350,87,161,300,455,959,1736,False,1
107,Hitmonchan,https://pokemondb.net/pokedex/hitmonchan,Fighting,None,1.4,50.2,50,210,304,105,193,339,79,146,282,35,67,185,110,202,350,76,141,276,455,959,1736,False,1
108,Lickitung,https://pokemondb.net/pokedex/lickitung,Normal,None,1.2,65.5,90,290,384,55,103,229,75,139,273,60,112,240,75,139,273,30,58,174,385,841,1573,False,1
109,Koffing,https://pokemondb.net/pokedex/koffing,Poison,None,0.6,1.0,40,190,284,65,121,251,95,175,317,60,112,240,45,85,207,35,67,185,340,750,1484,False,1
110,Weezing,https://pokemondb.net/pokedex/weezing,Poison,None,1.2,9.5,65,240,334,90,166,306,120,220,372,85,157,295,70,130,262,60,112,240,490,1025,1809,False,1
111,Rhyhorn,https://pokemondb.net/pokedex/rhyhorn,Ground,Rock,1.0,115.0,80,270,364,85,157,295,95,175,317,30,58,174,30,58,174,25,49,163,345,767,1487,False,1
112,Rhydon,https://pokemondb.net/pokedex/rhydon,Ground,Rock,1.9,120.0,105,320,414,130,238,394,120,220,372,45,85,207,45,85,207,40,76,196,485,1024,1790,False,1
113,Chansey,https://pokemondb.net/pokedex/chansey,Normal,None,1.1,34.6,250,610,704,5,13,119,5,13,119,35,67,185,105,193,339,50,94,218,450,990,1684,False,1
114,Tangela,https://pokemondb.net/pokedex/tangela,Grass,None,1.0,35.0,65,240,334,55,103,229,115,211,361,100,184,328,40,76,196,60,112,240,435,926,1688,False,1
115,Kangaskhan,https://pokemondb.net/pokedex/kangaskhan,Normal,None,2.2,80.0,105,320,414,95,175,317,80,148,284,40,76,196,80,148,284,90,166,306,490,1033,1801,False,1
116,Horsea,https://pokemondb.net/pokedex/horsea,Water,None,0.4,8.0,30,170,264,40,76,196,70,130,262,70,130,262,25,49,163,60,112,240,295,667,1387,False,1
117,Seadra,https://pokemondb.net/pokedex/seadra,Water,None,1.2,25.0,55,220,314,65,121,251,95,175,317,95,175,317,45,85,207,85,157,295,440,933,1701,False,1
118,Goldeen,https://pokemondb.net/pokedex/goldeen,Water,None,0.6,15.0,45,200,294,67,125,256,60,112,240,35,67,185,50,94,218,63,117,247,320,715,1440,False,1
119,Seaking,https://pokemondb.net/pokedex/seaking,Water,None,1.3,39.0,80,270,364,92,170,311,65,121,251,65,121,251,80,148,284,68,126,258,450,956,1719,False,1
120,Staryu,https://pokemondb.net/pokedex/staryu,Water,None,0.8,34.5,30,170,264,45,85,207,55,103,229,70,130,262,55,103,229,85,157,295,340,748,1486,False,1
121,Starmie,https://pokemondb.net/pokedex/starmie,Water,Psychic,1.1,80.0,60,230,324,75,139,273,85,157,295,100,184,328,85,157,295,115,211,361,520,1078,1876,False,1
122,Mr-Mime,https://pokemondb.net/pokedex/mr-mime,Psychic,Fairy,1.3,54.5,40,190,284,45,85,207,65,121,251,100,184,328,120,220,372,90,166,306,460,966,1748,False,1
123,Scyther,https://pokemondb.net/pokedex/scyther,Bug,Flying,1.5,56.0,70,250,344,110,202,350,80,148,284,55,103,229,80,148,284,105,193,339,500,1044,1830,False,1
124,Jynx,https://pokemondb.net/pokedex/jynx,Ice,Psychic,1.4,40.6,65,240,334,50,94,218,35,67,185,115,211,361,95,175,317,95,175,317,455,962,1732,False,1
125,Electabuzz,https://pokemondb.net/pokedex/electabuzz,Electric,None,1.1,30.0,65,240,334,83,153,291,57,107,234,95,175,317,85,157,295,105,193,339,490,1025,1810,False,1
126,Magmar,https://pokemondb.net/pokedex/magmar,Fire,None,1.3,44.5,65,240,334,95,175,317,57,107,234,100,184,328,85,157,295,93,171,313,495,1034,1821,False,1
127,Pinsir,https://pokemondb.net/pokedex/pinsir,Bug,None,1.5,55.0,65,240,334,125,229,383,100,184,328,55,103,229,70,130,262,85,157,295,500,1043,1831,False,1
128,Tauros,https://pokemondb.net/pokedex/tauros,Normal,None,1.4,88.4,75,260,354,100,184,328,95,175,317,40,76,196,70,130,262,110,202,350,490,1027,1807,False,1
129,Magikarp,https://pokemondb.net/pokedex/magikarp,Water,None,0.9,10.0,20,150,244,10,22,130,55,103,229,15,31,141,20,40,152,80,148,284,200,494,1180,False,1
130,Gyarados,https://pokemondb.net/pokedex/gyarados,Water,Flying,6.5,235.0,95,300,394,125,229,383,79,146,282,60,112,240,100,184,328,81,150,287,540,1121,1914,False,1
131,Lapras,https://pokemondb.net/pokedex/lapras,Water,Ice,2.5,220.0,130,370,464,85,157,295,80,148,284,85,157,295,95,175,317,60,112,240,535,1119,1895,False,1
132,Ditto,https://pokemondb.net/pokedex/ditto,Normal,None,0.3,4.0,48,206,300,48,90,214,48,90,214,48,90,214,48,90,214,48,90,214,288,656,1370,False,1
133,Eevee,https://pokemondb.net/pokedex/eevee,Normal,None,0.3,6.5,55,220,314,55,103,229,50,94,218,45,85,207,65,121,251,55,103,229,325,726,1448,False,1
134,Vaporeon,https://pokemondb.net/pokedex/vaporeon,Water,None,1.0,29.0,130,370,464,65,121,251,60,112,240,110,202,350,95,175,317,65,121,251,525,1101,1873,False,1
135,Jolteon,https://pokemondb.net/pokedex/jolteon,Electric,None,0.8,24.5,65,240,334,65,121,251,60,112,240,110,202,350,95,175,317,130,238,394,525,1088,1886,False,1
136,Flareon,https://pokemondb.net/pokedex/flareon,Fire,None,0.9,25.0,65,240,334,130,238,394,60,112,240,95,175,317,110,202,350,65,121,251,525,1088,1886,False,1
137,Porygon,https://pokemondb.net/pokedex/porygon,Normal,None,0.8,36.5,65,240,334,60,112,240,70,130,262,85,157,295,75,139,273,40,76,196,395,854,1600,False,1
138,Omanyte,https://pokemondb.net/pokedex/omanyte,Rock,Water,0.4,7.5,35,180,274,40,76,196,100,184,328,90,166,306,55,103,229,35,67,185,355,776,1518,False,1
139,Omastar,https://pokemondb.net/pokedex/omastar,Rock,Water,1.0,35.0,70,250,344,60,112,240,125,229,383,115,211,361,70,130,262,55,103,229,495,1035,1819,False,1
140,Kabuto,https://pokemondb.net/pokedex/kabuto,Rock,Water,0.5,11.5,30,170,264,80,148,284,90,166,306,55,103,229,45,85,207,55,103,229,355,775,1519,False,1
141,Kabutops,https://pokemondb.net/pokedex/kabutops,Rock,Water,1.3,40.5,60,230,324,115,211,361,105,193,339,65,121,251,70,130,262,80,148,284,495,1033,1821,False,1
142,Aerodactyl,https://pokemondb.net/pokedex/aerodactyl,Rock,Flying,1.8,59.0,80,270,364,105,193,339,65,121,251,60,112,240,75,139,273,130,238,394,515,1073,1861,False,1
143,Snorlax,https://pokemondb.net/pokedex/snorlax,Normal,None,2.1,460.0,160,430,524,110,202,350,65,121,251,65,121,251,110,202,350,30,58,174,540,1134,1900,False,1
144,Articuno,https://pokemondb.net/pokedex/articuno,Ice,Flying,1.7,55.4,90,290,384,85,157,295,100,184,328,95,175,317,125,229,383,85,157,295,580,1192,2002,True,1
145,Zapdos,https://pokemondb.net/pokedex/zapdos,Electric,Flying,1.6,52.6,90,290,384,90,166,306,85,157,295,125,229,383,90,166,306,100,184,328,580,1192,2002,True,1
146,Moltres,https://pokemondb.net/pokedex/moltres,Fire,Flying,2.0,60.0,90,290,384,100,184,328,90,166,306,125,229,383,85,157,295,90,166,306,580,1192,2002,True,1
147,Dratini,https://pokemondb.net/pokedex/dratini,Dragon,None,1.8,3.3,41,192,286,64,119,249,45,85,207,50,94,218,50,94,218,50,94,218,300,678,1396,False,1
148,Dragonair,https://pokemondb.net/pokedex/dragonair,Dragon,None,4.0,16.5,61,232,326,84,155,293,65,121,251,70,130,262,70,130,262,70,130,262,420,898,1656,False,1
149,Dragonite,https://pokemondb.net/pokedex/dragonite,Dragon,Flying,2.2,210.0,91,292,386,134,245,403,95,175,317,100,184,328,100,184,328,80,148,284,600,1228,2046,False,1
150,Mewtwo,https://pokemondb.net/pokedex/mewtwo,Psychic,None,2.0,122.0,106,322,416,110,202,350,90,166,306,154,281,447,90,166,306,130,238,394,680,1375,2219,True,1
151,Mew,https://pokemondb.net/pokedex/mew,Psychic,None,0.4,4.0,100,310,404,100,184,328,100,184,328,100,184,328,100,184,328,100,184,328,600,1230,2044,True,1
